,Initial_Reserve_Amount,Primary_Cause_of_Accident,Claimant_Age,Initial_Class_of_Claim,Repairable_Flag,Total_Loss_Flag,Claimant_State,Minor_Involved,Days_to_Int_Reserve_since_FNOL,Primary_Accident_Description,Initial_Attorney_Involvement,Total_People_Involved,Non_Drivable_Flag,Number_of_Injuries,Rate_Class,Hospital_Visit,Vehicle_Type,Pedestrian_Involvement,Combined_BI_Limits,Performance_Vehicle,Claimant_Injuries
376,19519,0,74,2,1,0,0,0,19,1,0,4,0,0,0,0,3,0,25000,0,3.0
436,9166,2,25,2,0,0,0,0,6,0,0,3,0,1,0,0,3,0,100000,0,2.0
2465,19781,1,22,0,0,0,1,0,17,1,0,2,0,0,2,0,1,0,100000,0,0.0
2356,1966,3,67,2,1,0,3,0,9,1,1,1,0,1,0,0,2,0,50000,0,3.0
1727,39006,2,40,0,0,0,0,0,11,0,0,1,1,2,0,0,2,0,25000,0,0.0
2966,28908,2,63,1,1,0,2,0,21,1,0,4,0,0,2,0,3,0,50000,0,2.0
208,32979,3,73,0,1,0,3,0,15,2,0,2,1,2,1,0,2,0,50000,0,1.0
1459,2600,1,28,2,0,0,0,0,2,1,1,2,0,0,1,0,3,0,50000,0,2.0
565,11116,0,69,2,1,0,0,0,8,0,1,4,0,4,0,0,1,0,100000,0,1.0
313,10661,1,60,1,1,0,3,0,12,0,1,2,0,1,1,0,1,0,100000,0,1.0
601,42255,3,70,2,1,0,1,0,14,0,1,1,1,1,2,0,1,0,100000,0,1.0
233,28795,0,20,1,0,0,2,0,8,2,0,3,1,1,2,0,3,0,100000,0,3.0
3453,36351,2,30,1,0,0,3,0,12,0,0,4,0,1,1,0,0,0,50000,0,2.0
2295,14522,0,40,2,1,0,2,0,10,1,0,2,1,2,2,0,0,0,25000,0,1.0
2972,24456,1,42,2,1,0,1,0,25,1,0,1,1,3,0,0,2,0,100000,0,3.0
111,31246,0,70,2,1,0,2,0,12,0,0,1,0,3,2,0,1,0,100000,0,1.0
2820,20724,2,27,0,1,0,3,0,19,0,0,4,0,3,2,0,3,0,100000,0,3.0
2538,22098,2,31,1,1,0,4,0,10,1,0,4,0,0,1,0,0,0,50000,0,2.0
1725,42201,2,58,1,1,0,3,0,26,2,0,1,1,4,1,0,3,0,100000,0,3.0
2407,7033,1,18,2,0,0,2,0,25,2,0,3,0,1,0,0,1,0,100000,0,2.0
3307,18960,2,55,0,1,0,3,0,11,1,0,4,0,0,1,0,0,0,25000,0,3.0
472,7222,0,53,1,0,0,2,0,13,2,1,3,1,2,2,0,0,0,25000,0,2.0
2513,43124,0,71,2,1,0,0,0,4,0,1,2,0,4,0,0,2,0,100000,0,1.0
2669,35135,1,75,0,0,0,4,0,6,2,0,1,1,0,0,0,0,0,50000,0,1.0
2584,17797,0,18,1,1,0,1,0,27,2,0,3,0,2,1,0,2,0,50000,0,1.0
1163,7739,2,39,1,1,0,0,0,4,0,0,1,1,0,0,0,2,0,25000,0,2.0
361,13441,1,35,2,1,0,3,0,27,0,0,1,1,3,2,0,1,0,25000,0,1.0
135,40828,0,26,0,0,0,4,0,4,2,0,2,0,1,1,0,0,0,25000,0,2.0
2276,21567,1,71,2,1,0,3,0,10,1,1,2,1,4,2,0,1,0,25000,0,1.0
3057,33585,3,27,2,1,0,4,0,1,1,1,3,0,4,1,0,2,0,50000,0,1.0
22,46258,1,41,1,0,0,1,0,14,0,0,3,0,2,0,0,2,0,50000,0,1.0
1577,16023,0,71,0,1,0,2,0,29,0,1,3,0,1,2,0,3,0,100000,0,1.0
1420,42127,1,40,1,1,0,2,0,12,0,0,4,0,1,0,0,3,0,25000,0,1.0
1995,26305,3,47,1,1,0,4,0,10,1,0,4,0,4,2,0,2,0,100000,0,3.0
695,35988,3,54,0,1,0,2,0,26,1,0,3,0,0,1,0,2,0,100000,0,2.0
420,44909,2,72,1,1,0,4,0,29,0,1,1,0,1,0,0,0,0,100000,0,2.0
2067,11203,0,49,0,1,0,1,0,28,1,1,4,1,2,2,0,2,0,100000,0,0.0
460,38758,3,18,1,1,0,1,0,10,2,0,3,1,2,1,0,1,0,50000,0,2.0
87,22418,3,43,2,0,0,2,0,15,1,1,1,1,0,0,0,2,0,100000,0,3.0
282,41443,0,76,2,1,0,3,0,17,0,0,3,0,0,0,0,1,0,25000,0,1.0
1338,840,1,37,1,1,0,1,0,1,1,0,3,0,1,0,0,1,0,25000,0,1.0
2706,11360,3,51,2,0,0,0,0,13,0,0,3,0,0,2,0,1,0,50000,0,2.0
1366,14027,2,21,1,1,0,2,0,12,2,0,2,1,2,0,0,0,0,50000,0,1.0
3491,2913,2,31,2,1,0,0,0,18,1,1,2,1,0,2,0,3,0,100000,0,2.0
2022,40260,2,58,2,0,0,4,0,29,2,0,4,0,2,2,0,2,0,50000,0,0.0
859,40890,2,38,0,1,0,0,0,20,0,0,4,0,2,0,0,3,0,100000,0,1.0
533,28435,0,73,0,1,0,2,0,28,1,0,3,1,3,0,0,0,0,25000,0,3.0
2996,14890,3,77,0,1,0,0,0,24,1,0,3,1,0,1,0,0,0,25000,0,3.0
1632,11078,2,22,0,0,0,4,0,6,1,1,4,0,0,1,0,2,0,50000,0,3.0
1206,25715,1,56,2,0,0,0,0,12,0,0,1,1,2,1,0,2,0,50000,0,3.0
3627,17570,0,61,0,1,0,0,0,24,2,0,1,0,0,1,0,3,0,50000,0,2.0
2924,37270,3,39,2,1,0,0,0,18,0,0,2,1,1,2,0,3,0,25000,0,3.0
2591,6721,0,47,1,1,0,0,0,3,1,1,3,1,1,1,0,1,0,25000,0,3.0
1536,5467,3,65,2,0,0,3,0,1,0,0,2,1,1,1,0,2,0,25000,0,1.0
3623,19108,0,45,1,1,0,2,0,20,0,0,2,1,1,1,0,0,0,50000,0,3.0
1336,2432,2,30,1,1,0,1,0,22,1,0,3,0,1,0,0,1,0,25000,0,1.0
2333,47351,0,34,0,0,0,1,0,3,0,0,3,0,3,1,0,1,0,25000,0,1.0
1200,11939,1,47,2,1,0,1,0,17,2,0,1,0,1,1,0,3,0,50000,0,1.0
3593,36995,0,34,2,1,0,4,0,12,1,0,4,0,2,2,0,1,0,50000,0,2.0
2984,38765,3,67,0,1,0,1,0,13,0,1,4,0,1,2,0,1,0,25000,0,3.0
942,4216,1,73,2,1,0,4,0,4,0,1,1,1,1,2,0,2,0,25000,0,1.0
3535,28865,3,52,1,1,0,0,0,18,2,0,2,1,2,1,0,0,0,100000,0,0.0
1717,38756,1,40,2,1,0,3,0,12,0,0,2,1,3,0,0,1,0,50000,0,2.0
3555,29455,3,77,0,0,0,3,0,3,1,0,4,1,2,2,0,0,0,50000,0,1.0
1822,45264,1,51,1,1,0,4,0,20,2,0,2,0,1,2,0,1,0,25000,0,3.0
887,7946,2,37,0,1,0,3,0,8,1,0,1,1,0,1,0,2,0,100000,0,0.0
3483,19962,3,28,0,1,0,4,0,18,1,0,3,1,0,1,0,0,0,50000,0,3.0
685,20672,2,62,1,0,0,1,0,27,0,0,1,1,1,0,0,3,0,100000,0,2.0
413,8283,2,55,0,1,0,4,0,26,2,1,3,0,2,1,0,2,0,100000,0,0.0
789,40382,0,25,0,1,0,1,0,22,0,0,4,0,1,0,0,1,0,25000,0,2.0
1972,28878,0,69,2,1,0,1,0,7,0,0,2,0,2,0,0,2,0,100000,0,1.0
2629,14168,1,40,2,0,0,3,0,16,2,1,1,1,4,2,0,3,0,100000,0,1.0
1623,6533,0,18,1,1,0,3,0,13,0,1,1,1,3,2,0,2,0,25000,0,2.0
2829,8368,3,52,1,1,0,3,0,9,1,0,3,0,4,1,0,2,0,25000,0,2.0
1979,11651,3,49,2,0,0,0,0,9,0,0,2,0,0,1,0,2,0,100000,0,1.0
1891,49553,1,72,0,0,0,0,0,13,2,0,4,1,0,0,0,3,0,100000,0,3.0
272,20659,1,70,2,1,0,4,0,9,0,0,1,0,3,1,0,0,0,50000,0,2.0
3310,528,1,42,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,25000,0,1.0
521,23893,0,38,1,1,0,3,0,26,0,0,1,0,3,0,0,1,0,25000,0,2.0
522,23551,1,19,1,1,0,2,0,23,0,0,2,1,3,2,0,3,0,100000,0,2.0
2662,38229,2,63,1,0,0,3,0,10,0,0,1,0,0,1,0,1,0,100000,0,2.0
350,11287,0,26,0,1,0,2,0,29,0,1,2,0,2,2,0,3,0,25000,0,1.0
1378,49433,3,53,0,1,0,3,0,8,0,0,3,0,1,0,0,3,0,25000,0,2.0
1587,12080,0,21,2,0,0,1,0,21,0,1,4,0,2,0,0,3,0,100000,0,2.0
2867,31331,0,58,0,1,0,4,0,9,1,0,2,1,4,1,0,3,0,50000,0,3.0
1315,23352,1,67,0,1,0,0,0,11,1,1,1,0,0,0,0,1,0,50000,0,2.0
651,7040,1,51,1,1,0,3,0,22,1,1,4,0,0,1,0,0,0,100000,0,1.0
3393,45412,3,53,2,1,0,2,0,10,0,0,1,0,3,2,0,0,0,100000,0,0.0
3261,41134,1,28,0,1,0,1,0,15,2,0,3,0,2,0,0,0,0,25000,0,2.0
3407,24618,3,39,0,1,0,1,0,9,2,0,3,0,1,1,0,0,0,50000,0,3.0
1228,32155,1,30,0,1,0,2,0,13,0,0,4,0,1,0,0,0,0,50000,0,1.0
2606,28886,1,43,1,1,0,2,0,3,2,1,1,1,3,0,0,3,0,25000,0,0.0
1452,42656,0,29,0,1,0,1,0,24,2,0,3,1,3,0,0,0,0,50000,0,1.0
1647,19988,1,71,1,0,0,2,0,1,0,0,4,0,4,0,0,3,0,100000,0,2.0
168,4006,0,46,2,1,0,4,0,2,0,0,4,0,1,0,0,0,0,100000,0,2.0
3412,23841,2,67,1,1,0,1,0,12,1,0,1,0,2,1,0,3,0,100000,0,1.0
962,33284,0,63,2,1,0,2,0,10,0,0,3,0,1,1,0,0,0,50000,0,1.0
945,38105,3,22,2,1,0,1,0,24,1,0,2,0,2,2,0,2,0,50000,0,3.0
462,11985,1,25,0,1,0,1,0,9,2,0,3,1,2,0,0,1,0,100000,0,2.0
1545,41195,0,78,1,1,0,0,0,17,1,0,2,1,3,0,0,2,0,25000,0,3.0
328,5626,3,60,0,1,0,2,0,21,1,0,3,0,0,1,0,2,0,100000,0,2.0
1412,8744,3,68,0,1,0,4,0,14,1,1,1,0,2,2,0,2,0,100000,0,1.0
2335,47488,1,71,0,1,0,1,0,19,2,0,3,0,0,2,0,3,0,25000,0,3.0
367,5787,2,31,1,1,0,4,0,28,2,0,2,0,0,0,0,2,0,100000,0,2.0
3178,34072,0,49,2,1,0,4,0,3,0,0,4,0,0,2,0,0,0,25000,0,2.0
3049,5970,2,41,2,1,0,1,0,15,2,1,2,1,0,0,0,3,0,50000,0,2.0
3637,27912,1,73,0,1,0,3,0,1,0,0,2,0,0,0,0,1,0,25000,0,1.0
2856,34210,3,42,1,1,0,2,0,2,0,1,3,0,3,0,0,0,0,25000,0,2.0
772,38638,3,63,0,0,0,1,0,26,0,0,2,1,0,2,0,1,0,25000,0,0.0
2566,20273,0,74,0,0,0,1,0,11,2,0,1,1,4,2,0,3,0,100000,0,3.0
3293,14985,1,26,1,1,0,2,0,7,2,0,1,1,4,2,0,2,0,50000,0,1.0
3069,29052,3,19,1,1,0,4,0,18,0,0,1,0,2,0,0,2,0,25000,0,2.0
498,32389,3,26,2,0,0,4,0,6,2,1,1,1,4,0,0,3,0,100000,0,2.0
1360,49151,1,47,2,1,0,4,0,6,1,0,4,0,4,0,0,0,0,50000,0,3.0
435,9077,2,21,0,0,0,4,0,27,0,0,2,1,2,2,0,0,0,100000,0,3.0
365,20628,0,43,0,1,0,2,0,8,2,1,2,0,0,0,0,1,0,50000,0,3.0
1532,23101,1,55,1,1,0,4,0,28,1,0,1,0,1,1,0,1,0,100000,0,3.0
276,49907,3,39,2,0,0,2,0,29,1,0,4,1,1,2,0,2,0,25000,0,1.0
2439,37538,2,55,1,0,0,2,0,7,2,0,4,1,2,1,0,1,0,100000,0,2.0
3615,11440,2,47,2,0,0,3,0,2,0,1,1,1,4,2,0,1,0,25000,0,1.0
1442,22556,3,50,2,1,0,1,0,18,1,1,2,0,1,0,0,1,0,25000,0,1.0
407,14653,0,31,2,1,0,0,0,10,2,0,1,0,3,0,0,1,0,50000,0,1.0
2555,3295,0,34,1,1,0,0,0,22,1,0,2,0,4,1,0,0,0,100000,0,3.0
2063,33203,1,51,2,0,0,3,0,29,0,1,3,0,2,0,0,0,0,100000,0,2.0
844,11117,1,36,0,1,0,3,0,10,0,0,2,1,3,1,0,1,0,25000,0,2.0
1941,15215,0,65,2,1,0,0,0,22,1,0,3,0,0,2,0,1,0,100000,0,1.0
1220,9287,2,21,0,1,0,1,0,3,2,0,3,1,3,1,0,3,0,50000,0,3.0
2183,30509,2,34,2,1,0,4,0,17,1,1,3,0,3,2,0,3,0,100000,0,1.0
3538,15735,3,47,0,1,0,3,0,8,2,0,3,0,3,2,0,0,0,50000,0,2.0
3190,22840,0,33,2,1,0,0,0,27,1,0,3,1,4,1,0,1,0,25000,0,1.0
1432,33502,3,62,0,0,0,2,0,12,2,0,1,0,3,2,0,2,0,50000,0,1.0
1457,15062,2,33,2,1,0,2,0,24,1,0,3,0,3,0,0,2,0,50000,0,1.0
855,17514,2,22,1,0,0,2,0,10,1,0,3,0,0,2,0,3,0,100000,0,3.0
1742,48463,2,74,0,0,0,1,0,27,2,0,1,1,1,0,0,2,0,25000,0,2.0
2043,24166,2,78,1,0,0,4,0,18,1,1,2,1,2,2,0,1,0,25000,0,1.0
944,24782,2,61,1,1,0,1,0,24,1,0,2,0,0,0,0,3,0,100000,0,2.0
199,11761,3,32,1,1,0,2,0,29,0,0,2,1,4,1,0,3,0,50000,0,1.0
2274,45132,2,34,1,0,0,4,0,18,2,1,2,0,3,2,0,2,0,50000,0,3.0
2585,20081,3,38,0,1,0,3,0,7,2,0,2,0,1,0,0,2,0,50000,0,2.0
801,38860,3,48,0,0,0,1,0,21,2,1,3,0,4,1,0,1,0,25000,0,1.0
2985,26924,0,48,1,0,0,3,0,23,1,0,4,1,3,2,0,3,0,100000,0,2.0
2430,22557,3,39,0,1,0,4,0,13,2,0,3,1,0,2,0,2,0,50000,0,2.0
3529,30848,2,21,0,1,0,0,0,26,1,0,2,1,1,2,0,0,0,50000,0,3.0
231,47232,1,52,1,1,0,2,0,13,2,1,4,0,4,1,0,2,0,25000,0,1.0
2803,20006,2,30,1,1,0,2,0,17,0,0,3,1,1,2,0,3,0,50000,0,1.0
3230,1219,3,76,1,0,0,0,0,18,1,0,4,0,2,1,0,1,0,100000,0,3.0
2535,39490,2,25,0,1,0,4,0,26,1,0,2,0,1,2,0,2,0,100000,0,3.0
2622,47025,3,50,0,0,0,2,0,23,2,1,3,0,1,0,0,2,0,25000,0,3.0
2507,22944,0,78,2,1,0,0,0,17,0,0,1,0,0,0,0,2,0,25000,0,0.0
3475,14935,0,73,2,1,0,1,0,4,2,1,3,1,1,0,0,2,0,50000,0,3.0
1626,26900,1,75,2,1,0,3,0,26,1,0,4,0,2,0,0,1,0,100000,0,1.0
2668,39150,1,51,0,0,0,4,0,6,2,0,1,1,0,1,0,3,0,25000,0,1.0
3511,12678,2,75,1,0,0,0,0,23,1,0,2,0,2,0,0,3,0,50000,0,1.0
1143,13319,0,69,1,0,0,0,0,11,2,0,3,1,3,1,0,3,0,100000,0,3.0
3276,25030,3,28,1,1,0,1,0,23,0,0,3,0,2,0,0,0,0,100000,0,0.0
191,38804,3,79,0,1,0,4,0,22,0,0,2,1,3,2,0,3,0,100000,0,0.0
104,26376,2,28,2,1,0,4,0,15,1,1,3,1,3,1,0,3,0,25000,0,3.0
2730,7882,2,44,2,1,0,3,0,25,0,1,2,0,1,0,0,0,0,25000,0,1.0
2093,33578,0,21,0,0,0,1,0,3,1,0,2,1,2,1,0,0,0,100000,0,3.0
1174,17571,3,32,2,1,0,1,0,22,1,1,3,1,1,1,0,2,0,25000,0,3.0
1517,15949,1,49,1,0,0,1,0,5,2,1,1,0,4,1,0,1,0,100000,0,0.0
1398,28720,2,47,1,0,0,4,0,3,0,0,2,0,4,2,0,0,0,50000,0,1.0
1392,15538,1,34,1,1,0,3,0,9,0,0,1,1,4,2,0,1,0,50000,0,1.0
1295,2498,1,55,1,0,0,1,0,29,1,0,2,0,2,2,0,2,0,100000,0,1.0
2810,13165,1,34,2,1,0,4,0,5,2,0,2,0,0,2,0,3,0,50000,0,1.0
2605,17266,0,27,0,1,0,4,0,26,0,1,2,0,4,0,0,1,0,25000,0,1.0
2458,7735,1,48,2,1,0,0,0,2,0,0,3,0,4,0,0,3,0,100000,0,2.0
1537,20522,2,68,1,1,0,2,0,12,1,0,4,1,1,1,0,1,0,50000,0,2.0
2230,41607,0,18,2,1,0,4,0,27,2,0,2,0,0,2,0,2,0,25000,0,2.0
2855,41895,3,35,2,1,0,1,0,8,2,1,1,0,1,1,0,0,0,100000,0,2.0
3588,28250,2,38,1,1,0,0,0,1,2,1,3,0,2,0,0,2,0,50000,0,1.0
3401,4555,0,21,0,1,0,2,0,3,2,1,4,0,0,1,0,3,0,25000,0,2.0
1402,10850,2,35,1,1,0,3,0,8,2,0,1,0,4,1,0,0,0,100000,0,3.0
3093,37213,2,18,0,0,0,2,0,1,1,0,3,0,3,1,0,1,0,100000,0,2.0
994,7410,2,37,1,0,0,0,0,18,2,0,4,0,4,1,0,1,0,25000,0,2.0
464,38141,3,58,0,1,0,2,0,21,2,1,4,1,0,1,0,3,0,50000,0,1.0
3660,28063,0,59,0,0,0,0,0,12,2,0,3,1,3,2,0,3,0,25000,0,3.0
2753,2648,2,66,1,1,0,0,0,17,2,0,1,0,2,0,0,3,0,100000,0,1.0
2956,3817,2,73,0,1,0,1,0,2,0,1,2,1,3,2,0,3,0,25000,0,1.0
1922,34587,1,49,1,1,0,2,0,17,2,1,2,0,1,1,0,0,0,50000,0,3.0
3388,21323,3,79,2,1,0,2,0,21,2,1,3,1,2,2,0,1,0,25000,0,1.0
2631,8451,2,51,0,1,0,1,0,10,2,0,2,1,1,0,0,3,0,100000,0,3.0
212,45412,1,49,1,0,0,2,0,22,1,1,1,0,0,1,0,3,0,50000,0,1.0
1036,3020,0,30,1,0,0,3,0,4,0,0,4,0,4,0,0,0,0,25000,0,0.0
3559,13834,2,55,0,1,0,0,0,6,1,0,1,0,3,0,0,3,0,50000,0,2.0
900,32482,2,65,1,1,0,1,0,16,2,0,2,1,3,0,0,2,0,100000,0,2.0
1419,22940,3,58,0,1,0,4,0,19,0,0,2,0,4,1,0,0,0,25000,0,3.0
1425,44952,0,76,2,1,0,0,0,23,2,1,1,0,1,2,0,3,0,100000,0,2.0
741,42729,2,39,0,1,0,3,0,15,2,1,3,1,4,1,0,3,0,50000,0,2.0
3233,46429,3,56,0,1,0,2,0,5,1,1,3,0,1,0,0,2,0,50000,0,2.0
2851,45424,0,26,1,0,0,1,0,14,0,0,4,1,4,2,0,1,0,100000,0,2.0
3269,41427,0,73,1,1,0,1,0,19,1,1,1,0,2,1,0,0,0,25000,0,1.0
509,24363,0,32,1,1,0,1,0,21,1,0,2,0,0,0,0,0,0,100000,0,2.0
597,29692,2,46,2,0,0,2,0,11,1,0,2,1,4,1,0,2,0,50000,0,2.0
1566,43910,1,67,0,0,0,1,0,9,0,0,3,0,1,0,0,3,0,25000,0,2.0
981,17031,1,68,1,0,0,2,0,3,2,1,4,1,0,1,0,0,0,25000,0,2.0
1255,7296,3,46,1,1,0,4,0,29,2,1,4,0,3,2,0,0,0,25000,0,2.0
3238,29983,3,68,0,1,0,0,0,19,0,0,3,1,4,2,0,1,0,50000,0,2.0
518,45686,1,27,2,1,0,1,0,3,1,0,4,0,1,2,0,3,0,100000,0,3.0
1268,34785,0,30,0,1,0,2,0,20,1,1,3,1,4,2,0,2,0,50000,0,1.0
767,27920,1,50,2,0,0,4,0,7,0,0,2,0,4,1,0,1,0,100000,0,3.0
2437,9595,0,45,2,0,0,3,0,22,0,1,1,0,0,1,0,0,0,25000,0,1.0
421,21030,3,72,0,1,0,4,0,29,0,0,1,0,1,1,0,3,0,100000,0,0.0
123,1199,2,36,1,0,0,1,0,15,1,1,1,1,4,1,0,0,0,50000,0,1.0
2202,18943,2,35,2,1,0,3,0,11,1,0,1,0,4,0,0,3,0,100000,0,1.0
1309,6406,2,58,2,1,0,1,0,18,0,0,3,1,3,0,0,0,0,25000,0,3.0
819,4931,1,19,1,1,0,3,0,23,2,0,3,0,4,1,0,3,0,100000,0,0.0
100,47260,2,34,0,1,0,2,0,20,0,0,4,1,4,1,0,1,0,100000,0,2.0
3235,23597,3,66,1,1,0,3,0,19,2,1,1,0,2,1,0,1,0,25000,0,1.0
3398,28900,2,73,1,1,0,2,0,19,2,0,4,0,3,2,0,3,0,25000,0,2.0
2804,5075,2,42,1,1,0,0,0,24,2,0,3,1,4,0,0,3,0,25000,0,3.0
3214,32129,3,65,1,1,0,2,0,29,1,0,3,0,2,2,0,0,0,25000,0,1.0
1103,38266,2,66,1,1,0,1,0,29,1,1,2,1,3,2,0,3,0,100000,0,3.0
2369,9790,1,42,2,1,0,3,0,24,0,0,2,0,3,0,0,1,0,25000,0,3.0
2714,48182,0,74,1,1,0,2,0,29,0,1,2,1,1,0,0,2,0,50000,0,3.0
2941,44898,3,23,0,1,0,2,0,17,0,0,2,1,1,1,0,1,0,25000,0,2.0
3443,46728,2,78,1,1,0,0,0,21,0,0,4,0,0,0,0,1,0,50000,0,2.0
2658,46658,3,27,2,1,0,1,0,14,0,1,3,0,1,0,0,3,0,25000,0,3.0
2148,45141,3,52,2,1,0,0,0,28,2,1,4,0,2,1,0,0,0,100000,0,2.0
2840,42781,2,23,0,0,0,0,0,5,0,0,4,0,2,0,0,0,0,100000,0,2.0
982,10642,0,62,2,1,0,3,0,13,2,0,4,1,3,0,0,1,0,100000,0,1.0
456,28452,2,18,1,1,0,3,0,26,2,0,4,1,4,0,0,2,0,50000,0,1.0
3083,12967,1,56,0,1,0,0,0,28,1,0,2,0,2,0,0,3,0,100000,0,2.0
2611,29586,1,73,0,1,0,1,0,24,0,0,1,0,1,2,0,2,0,100000,0,2.0
381,16024,3,71,1,1,0,4,0,15,1,0,4,0,3,2,0,1,0,25000,0,3.0
3428,44390,2,69,0,1,0,4,0,12,2,1,2,1,2,0,0,1,0,25000,0,2.0
2748,13482,2,23,0,0,0,2,0,14,1,1,3,1,3,2,0,1,0,25000,0,2.0
2254,39821,2,35,1,1,0,4,0,25,0,0,3,0,2,2,0,1,0,25000,0,2.0
1010,19044,3,37,2,0,0,2,0,21,2,0,4,1,1,1,0,0,0,50000,0,2.0
1501,47618,0,23,1,0,0,4,0,13,2,0,3,1,4,2,0,0,0,25000,0,3.0
3670,39174,2,20,2,1,0,1,0,15,1,1,4,0,3,1,0,3,0,25000,0,1.0
662,49151,2,47,2,1,0,0,0,5,0,0,4,0,0,1,0,0,0,50000,0,1.0
1556,10695,1,66,1,0,0,3,0,17,2,0,3,1,0,0,0,0,0,100000,0,1.0
3520,5156,0,61,2,1,0,4,0,10,0,0,3,1,1,1,0,2,0,25000,0,2.0
3332,24306,0,65,2,0,0,1,0,19,2,0,4,1,0,0,0,1,0,25000,0,2.0
2665,30491,3,53,1,1,0,4,0,28,0,0,4,0,4,0,0,2,0,100000,0,3.0
2762,8353,2,25,0,1,0,3,0,4,0,0,3,0,0,0,0,3,0,25000,0,2.0
2881,3392,3,67,1,0,0,2,0,28,2,1,1,0,4,1,0,3,0,100000,0,0.0
2798,22137,1,25,1,0,0,3,0,26,1,0,3,0,4,0,0,0,0,25000,0,0.0
2655,47616,0,74,1,1,0,2,0,10,0,0,3,1,4,2,0,3,0,25000,0,3.0
845,31901,0,18,1,0,0,3,0,9,1,1,4,1,2,0,0,3,0,50000,0,3.0
542,18405,3,49,2,1,0,0,0,10,0,0,2,1,4,2,0,3,0,100000,0,2.0
3244,12561,3,40,2,1,0,4,0,20,1,0,4,1,0,1,0,2,0,50000,0,3.0
2351,34209,1,39,2,1,0,1,0,1,0,0,3,0,0,1,0,0,0,50000,0,2.0
2114,44976,3,49,0,1,0,2,0,18,2,1,3,0,4,0,0,2,0,25000,0,0.0
1196,30612,0,73,0,1,0,4,0,12,0,0,1,0,0,2,0,2,0,50000,0,2.0
1102,9935,1,32,2,1,0,3,0,17,0,0,3,0,0,2,0,1,0,50000,0,1.0
2470,46260,0,59,1,1,0,1,0,7,0,0,3,0,3,1,0,2,0,100000,0,1.0
2241,787,0,41,0,1,0,3,0,14,2,1,1,0,1,1,0,2,0,100000,0,1.0
1872,19759,1,48,2,0,0,0,0,11,0,1,4,0,0,0,0,1,0,100000,0,1.0
1825,22510,0,41,0,0,0,2,0,23,1,0,2,0,3,1,0,1,0,50000,0,2.0
2292,8544,3,30,1,1,0,2,0,13,0,0,1,1,1,1,0,3,0,25000,0,3.0
2028,19956,2,24,2,1,0,0,0,25,2,0,2,0,0,1,0,3,0,25000,0,3.0
1048,12587,2,40,1,1,0,1,0,7,1,0,2,0,1,1,0,1,0,25000,0,1.0
3610,10981,1,42,0,1,0,1,0,24,1,1,1,0,1,1,0,1,0,50000,0,2.0
2488,21898,2,70,1,1,0,3,0,21,2,0,3,1,2,1,0,3,0,100000,0,3.0
2515,48475,1,61,2,1,0,2,0,6,2,0,1,0,4,0,0,3,0,100000,0,3.0
2227,46396,3,75,2,1,0,2,0,21,2,0,1,0,0,1,0,3,0,25000,0,0.0
237,28678,1,36,1,1,0,0,0,5,1,1,3,0,0,1,0,3,0,100000,0,1.0
1278,25495,1,75,0,1,0,3,0,28,2,0,3,0,3,1,0,2,0,100000,0,2.0
1513,28828,2,65,2,1,0,1,0,20,2,0,4,1,1,0,0,1,0,100000,0,2.0
1133,23981,2,25,1,1,0,3,0,5,2,0,4,0,2,2,0,2,0,100000,0,1.0
2401,30999,2,35,2,0,0,0,0,10,1,0,4,1,0,2,0,2,0,100000,0,2.0
2516,1962,2,63,1,0,0,4,0,13,0,0,2,0,2,2,0,0,0,25000,0,2.0
163,5737,3,28,1,1,0,0,0,26,0,0,4,1,3,2,0,3,0,50000,0,1.0
2891,27035,0,37,1,1,0,3,0,23,0,1,2,1,1,2,0,3,0,25000,0,2.0
252,34091,3,54,1,1,0,2,0,4,0,1,3,0,2,2,0,1,0,25000,0,1.0
1509,47653,3,49,1,1,0,4,0,28,2,0,3,1,4,1,0,1,0,50000,0,1.0
3326,6296,1,34,0,0,0,3,0,27,0,1,4,0,0,0,0,0,0,100000,0,2.0
1656,10241,3,48,1,1,0,3,0,21,1,0,3,0,2,0,0,1,0,100000,0,1.0
930,34906,2,60,2,1,0,3,0,16,0,1,4,0,0,1,0,1,0,25000,0,2.0
1835,32672,0,74,2,1,0,1,0,12,1,0,3,0,2,1,0,3,0,25000,0,2.0
2978,44327,3,53,0,1,0,2,0,12,1,0,1,1,3,2,0,0,0,25000,0,1.0
1765,19478,3,50,0,1,0,3,0,8,0,1,2,0,0,0,0,2,0,100000,0,1.0
1510,43006,3,75,1,1,0,0,0,24,0,1,2,0,1,2,0,3,0,100000,0,2.0
3493,2605,2,25,1,0,0,2,0,9,0,0,3,1,4,2,0,3,0,50000,0,2.0
2196,35613,0,18,0,1,0,1,0,22,1,1,1,1,2,2,0,3,0,50000,0,3.0
3358,831,3,51,2,0,0,2,0,20,1,0,2,1,0,2,0,3,0,25000,0,1.0
1090,43463,3,67,2,1,0,0,0,7,0,0,2,0,4,0,0,0,0,25000,0,1.0
2933,5451,0,79,1,0,0,1,0,9,2,0,4,0,1,1,0,3,0,50000,0,2.0
1650,26549,3,52,0,0,0,4,0,10,0,0,4,0,3,0,0,0,0,50000,0,2.0
1181,10252,2,31,2,1,0,3,0,25,0,0,1,0,2,0,0,0,0,100000,0,1.0
